dg1 [um],dg_feed [um],L1 [um],L2 [um],Freq [GHz],S11_dB,S21_dB
-12,-78,50,-96,0.6,-0.0025735096547132,-68.1934315287549
-12,-78,50,-96,0.605,-0.0026446581057067,-67.7212895168066
-12,-78,50,-96,0.61,-0.0027175469673194,-67.2474927728286
-12,-78,50,-96,0.615,-0.0027922166888782,-66.7719651294919
-12,-78,50,-96,0.62,-0.0028687097584475,-66.2946298548411
-12,-78,50,-96,0.625,-0.0029470708231529,-65.8154095837209
-12,-78,50,-96,0.63,-0.0030273468188963,-65.3342262478816
-12,-78,50,-96,0.635,-0.00310958711057,-64.8510010045954
-12,-78,50,-96,0.64,-0.0031938436436343,-64.3656541635353
-12,-78,50,-96,0.645,-0.0032801711084521,-63.8781051118272
-12,-78,50,-96,0.65,-0.0033686271186507,-63.3882722369406
-12,-78,50,-96,0.655,-0.0034592724051381,-62.8960728473478
-12,-78,50,-96,0.66,-0.0035521710275166,-62.4014230905974
-12,-78,50,-96,0.665,-0.0036473906049736,-61.9042378686665
-12,-78,50,-96,0.67,-0.0037450025688821,-61.4044307502697
-12,-78,50,-96,0.675,-0.0038450824399011,-60.9019138799019
-12,-78,50,-96,0.68,-0.0039477101325568,-60.3965978832995
-12,-78,50,-96,0.685,-0.004052970290819,-59.8883917690466
-12,-78,50,-96,0.69,-0.0041609526588431,-59.3772028259621
-12,-78,50,-96,0.695,-0.0042717524914938,-58.8629365159613
-12,-78,50,-96,0.7,-0.0043854710102307,-58.3454963619805
-12,-78,50,-96,0.705,-0.0045022159106412,-57.8247838305839
-12,-78,50,-96,0.71,-0.0046221019291554,-57.300698208815
-12,-78,50,-96,0.715,-0.0047452514776153,-56.7731364748055
-12,-78,50,-96,0.72,-0.0048717953559056,-56.2419931616704
-12,-78,50,-96,0.725,-0.0050018735546724,-55.7071602140917
-12,-78,50,-96,0.73,-0.0051356361623718,-55.1685268370415
-12,-78,50,-96,0.735,-0.0052732443932441,-54.625979335961
-12,-78,50,-96,0.74,-0.0054148717562235,-54.0794009477139
-12,-78,50,-96,0.745,-0.0055607053882937,-53.5286716615333
-12,-78,50,-96,0.75,-0.0057109475803581,-52.9736680291315
-12,-78,50,-96,0.755,-0.0058658175293142,-52.4142629630532
-12,-78,50,-96,0.76,-0.0060255533564233,-51.8503255222807
-12,-78,50,-96,0.765,-0.0061904144403184,-51.2817206839827
-12,-78,50,-96,0.77,-0.0063606841228242,-50.7083091002211
-12,-78,50,-96,0.775,-0.0065366728578342,-50.1299468382852
-12,-78,50,-96,0.78,-0.0067187218881694,-49.5464851032149
-12,-78,50,-96,0.785,-0.0069072075538782,-48.9577699409103
-12,-78,50,-96,0.79,-0.0071025463575389,-48.3636419200826
-12,-78,50,-96,0.795,-0.0073052009403095,-47.7639357911047
-12,-78,50,-96,0.8,-0.0075156871567187,-47.1584801196283
-12,-78,50,-96,0.805,-0.0077345824793853,-46.5470968926104
-12,-78,50,-96,0.81,-0.0079625360183328,-45.9296010941401
-12,-78,50,-96,0.815,-0.0082002805069603,-45.3058002481858
-12,-78,50,-96,0.82,-0.0084486466909777,-44.6754939250658
-12,-78,50,-96,0.825,-0.0087085806631948,-44.0384732081113
-12,-78,50,-96,0.83,-0.0089811648214333,-43.3945201166108
-12,-78,50,-96,0.835,-0.0092676432979502,-42.7434069806913
-12,-78,50,-96,0.84,-0.0095694529258835,-42.0848957633533
-12,-78,50,-96,0.845,-0.0098882610865688,-41.418737324345
-12,-78,50,-96,0.85,-0.0102260121380523,-40.7446706200177
-12,-78,50,-96,0.855,-0.0105849845846243,-40.0624218327058
-12,-78,50,-96,0.86,-0.0109678617410715,-39.3717034225343
-12,-78,50,-96,0.865,-0.0113778194166341,-38.6722130938833
-12,-78,50,-96,0.87,-0.0118186351491148,-37.9636326680599
-12,-78,50,-96,0.875,-0.0122948248365386,-37.2456268530495
-12,-78,50,-96,0.88,-0.0128118143458563,-36.5178419006024
-12,-78,50,-96,0.885,-0.0133761559682025,-35.7799041404134
-12,-78,50,-96,0.89,-0.0139958026306168,-35.0314183808747
-12,-78,50,-96,0.895,-0.014680456833457,-34.2719661659767
-12,-78,50,-96,0.9,-0.015442016728646,-33.5011038786111
-12,-78,50,-96,0.905,-0.0162951491005028,-32.7183606821408
-12,-78,50,-96,0.91,-0.0172580289768018,-31.9232362951032
-12,-78,50,-96,0.915,-0.0183532991944649,-31.115198599037
-12,-78,50,-96,0.92,-0.019609321906225,-30.2936810877067
-12,-78,50,-96,0.925,-0.0210618197860628,-29.4580801789979
-12,-78,50,-96,0.93,-0.0227560405081636,-28.6077524307452
-12,-78,50,-96,0.935,-0.0247496281770445,-27.7420117321457
-12,-78,50,-96,0.94,-0.0271164559454154,-26.8601265882332
-12,-78,50,-96,0.945,-0.0299517741002467,-25.9613176836862
-12,-78,50,-96,0.95,-0.0333791707325323,-25.0447560153148
-12,-78,50,-96,0.955,-0.0375600474458977,-24.1095620369068
-12,-78,50,-96,0.96,-0.0427066097748881,-23.1548064913436
-12,-78,50,-96,0.965,-0.049099805014801,-22.1795139518068
-12,-78,50,-96,0.97,-0.0571142749220355,-21.1826706151417
-12,-78,50,-96,0.975,-0.0672533261183107,-20.1632386746636
