dg1 [um],dg_feed [um],L1 [um],L2 [um],fc [GHz],BW_3dB [GHz],S11min_inband [dB],S21peak [dB],fL_3dB [GHz],fH_3dB [GHz]
-12,-78,50,-96,1.54,0.9799999999999998,-51.0661493929822,-0.052788988853484,1.05,2.03
-12,-78,50,-92,1.54,0.9799999999999998,-56.5888468534748,-0.0527177558470296,1.05,2.03
-12,-78,50,-88,1.54,0.9799999999999998,-56.1613048732255,-0.0527261079480196,1.05,2.03
-12,-78,50,-84,1.5425,0.9850000000000001,-55.437836861466,-0.0529715805251265,1.05,2.035
-12,-74,50,-96,1.5425,0.9850000000000001,-57.1515364946497,-0.0529700296044121,1.05,2.035
-12,-74,50,-92,1.54,0.9799999999999998,-59.6491217678517,-0.0528783779678103,1.05,2.03
-12,-74,50,-88,1.54,0.9799999999999998,-68.8051782066777,-0.0525311755267961,1.05,2.03
-12,-74,50,-84,1.54,0.9799999999999998,-63.7986693976569,-0.0526120247005601,1.05,2.03
-12,-70,50,-96,1.54,0.9799999999999998,-60.6995903326333,-0.0525947529179532,1.05,2.03
-12,-70,50,-92,1.54,0.9799999999999998,-60.1968531839695,-0.0526302664813216,1.05,2.03
-12,-70,50,-88,1.54,0.9799999999999998,-62.7577435558189,-0.0526266648346801,1.05,2.03
-12,-70,50,-84,1.5425,0.9850000000000001,-56.3387415147294,-0.0531453052512875,1.05,2.035
-12,-66,50,-96,1.54,0.9799999999999998,-58.4777194620381,-0.0529962439201513,1.05,2.03
-12,-66,50,-92,1.54,0.9799999999999998,-52.2552968372901,-0.0527218187359056,1.05,2.03
-12,-66,50,-88,1.5425,0.9850000000000001,-59.7118593352126,-0.0528959770511417,1.05,2.035
-12,-66,50,-84,1.54,0.9799999999999998,-59.062408701454,-0.0528483683602642,1.05,2.03
-10,-78,50,-96,1.5425,0.9850000000000001,-53.2299099273213,-0.0527788512503293,1.05,2.035
-10,-78,50,-92,1.5425,0.9850000000000001,-55.9941064077017,-0.0528410883788493,1.05,2.035
-10,-78,50,-88,1.5425,0.9850000000000001,-56.0300376848344,-0.0527569249283141,1.05,2.035
-10,-78,50,-84,1.5425,0.9850000000000001,-59.8983466484985,-0.0528955536383893,1.05,2.035
-10,-74,50,-96,1.5425,0.9850000000000001,-59.9683505507155,-0.052892650117139,1.05,2.035
-10,-74,50,-92,1.54,0.9799999999999998,-62.8827561726457,-0.0526252727931805,1.05,2.03
-10,-74,50,-88,1.54,0.9799999999999998,-55.5424849610691,-0.0525628260115354,1.05,2.03
-10,-74,50,-84,1.5425,0.9850000000000001,-55.5684132582117,-0.0529071418729148,1.05,2.035
-10,-70,50,-96,1.54,0.9799999999999998,-50.7697855238956,-0.0527125855149289,1.05,2.03
-10,-70,50,-92,1.54,0.9799999999999998,-62.2877865462677,-0.0528211793432435,1.05,2.03
-10,-70,50,-90,1.54,0.9799999999999998,-63.3668001285109,-0.0529333653805185,1.05,2.03
-10,-70,50,-88,1.5425,0.9850000000000001,-54.029178338633,-0.053018057654795,1.05,2.035
-10,-70,50,-84,1.54,0.9799999999999998,-57.6234754548078,-0.0527916954488776,1.05,2.03
-10,-66,50,-96,1.5425,0.9850000000000001,-58.4300851063373,-0.0529865248442638,1.05,2.035
-10,-66,50,-92,1.54,0.9799999999999998,-59.2990977538115,-0.052613628399932,1.05,2.03
-10,-66,50,-88,1.54,0.9799999999999998,-57.0279360446173,-0.0527524895952828,1.05,2.03
-10,-66,50,-84,1.54,0.9799999999999998,-59.8199820814956,-0.0526519042637073,1.05,2.03
-8,-78,50,-96,1.54,0.9799999999999998,-54.0693096755242,-0.0531622726713181,1.05,2.03
-8,-78,50,-92,1.54,0.9799999999999998,-56.3687640057973,-0.0531386400617043,1.05,2.03
-8,-78,50,-88,1.54,0.9799999999999998,-55.9802112498169,-0.0531848568125992,1.05,2.03
-8,-78,50,-84,1.54,0.9799999999999998,-56.1966185492968,-0.0527897579992871,1.05,2.03
-8,-74,50,-96,1.54,0.9799999999999998,-63.1486373258722,-0.0527386739032952,1.05,2.03
-8,-74,50,-92,1.5425,0.9850000000000001,-62.1665693484038,-0.0529505717290666,1.05,2.035
-8,-74,50,-88,1.5425,0.9850000000000001,-63.4612050012794,-0.0532556717746534,1.05,2.035
-8,-74,50,-84,1.5425,0.9850000000000001,-58.9750137885107,-0.0532535244887822,1.05,2.035
-8,-70,50,-96,1.5425,0.9850000000000001,-61.3274105339848,-0.0528141990466366,1.05,2.035
-8,-70,50,-92,1.5425,0.9850000000000001,-57.2547469405237,-0.0527835237043416,1.05,2.035
-8,-70,50,-88,1.54,0.9799999999999998,-60.2161677124218,-0.0529701905610383,1.05,2.03
-8,-70,50,-84,1.54,0.9799999999999998,-71.0499078698546,-0.0530483693317802,1.05,2.03
-8,-66,50,-96,1.54,0.9799999999999998,-61.0304152396545,-0.0527685472765285,1.05,2.03
-8,-66,50,-92,1.5425,0.9850000000000001,-58.4018129753312,-0.0527189659757829,1.05,2.035
-8,-66,50,-88,1.5425,0.9850000000000001,-52.0492185471092,-0.052876079683008,1.05,2.035
-8,-66,50,-84,1.54,0.9799999999999998,-51.1685515669524,-0.0525628505572204,1.05,2.03
-6,-78,50,-96,1.5425,0.9850000000000001,-57.9604042297551,-0.052787285600558,1.05,2.035
-6,-78,50,-92,1.54,0.9799999999999998,-56.078535616653,-0.0525126498706834,1.05,2.03
-6,-78,50,-88,1.54,0.9799999999999998,-51.6017434092845,-0.0527100709620348,1.05,2.03
-6,-78,50,-84,1.54,0.9799999999999998,-52.3467873421297,-0.0526813265407222,1.05,2.03
-6,-74,50,-96,1.54,0.9799999999999998,-52.9196210364625,-0.0527274096176102,1.05,2.03
-6,-74,50,-92,1.5425,0.9749999999999999,-53.9435754017975,-0.0522736670855332,1.055,2.03
-6,-74,50,-88,1.54,0.9799999999999998,-57.7148316118357,-0.0526616895484451,1.05,2.03
-6,-74,50,-84,1.5425,0.9749999999999999,-63.1674623393056,-0.0523367065547953,1.055,2.03
-6,-70,50,-96,1.54,0.9799999999999998,-62.3065755853633,-0.0526546237449556,1.05,2.03
-6,-70,50,-92,1.5425,0.9850000000000001,-52.3057422581912,-0.0533742136817394,1.05,2.035
-6,-70,50,-88,1.54,0.9799999999999998,-61.1392191197215,-0.0526951003994974,1.05,2.03
-6,-70,50,-84,1.54,0.9799999999999998,-63.5685816850015,-0.052642433582785,1.05,2.03
-6,-66,50,-96,1.54,0.9799999999999998,-55.2231715544867,-0.0525338062328056,1.05,2.03
-6,-66,50,-92,1.54,0.9799999999999998,-53.8969512457967,-0.0528389874192753,1.05,2.03
-6,-66,50,-88,1.54,0.9799999999999998,-68.8640331336709,-0.0525657861311076,1.05,2.03
-6,-66,50,-84,1.54,0.9799999999999998,-57.8909967951585,-0.0525006167562594,1.05,2.03
